,phrase,sentiment_values
4434,The only surprise is that heavyweights Joel Silver and Robert Zemeckis agreed to produce this ; I assume the director has pictures of them cavorting in ladies ' underwear .,1
4435,Another useless recycling of a brutal mid - '70s American sports movie .,1
4436,"Please , someone , stop Eric Schaeffer before he makes another film .",0
4437,"Most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",0
4438,"... if you're just in the mood for a fun -- but bad -- movie , you might want to catch Freaks as a matinee .",2
4439,Curling may be a unique sport but Men with Brooms is distinctly ordinary .,2
4440,"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",2
4441,There's no getting around the fact that this is Revenge Of The Nerds Revisited -- again .,2
4442,"The effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",0
4443,"Analyze That regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",2
4444,"With flashbulb editing as cover for the absence of narrative continuity , Undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it's impossible to care who wins .",1
4445,"Stinks from start to finish , like a wet burlap sack of gloom .",1
4446,"To the civilized mind , a movie like Ballistic : Ecks Vs. Sever is more of an ordeal than an amusement .",0
4447,Equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and Farenheit 451 .,1
4448,"When Seagal appeared in an orange prison jumpsuit , I wanted to stand up in the theater and shout , ` Hey , Kool-Aid ! '",2
4449,"An easy watch , except for the annoying demeanour of its lead character .",2
4450,"Imagine the CleanFlicks version of ` Love Story , ' with Ali MacGraw's profanities replaced by romance-novel platitudes .",1
4451,"PC stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion .",1
4452,"Forget the misleading title , what's with the unexplained baboon cameo ?",1
4453,"An odd , haphazard , and inconsequential romantic comedy .",1
4454,"Though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",1
4455,"A static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes .",2
4456,"Watching the chemistry between Freeman and Judd , however , almost makes this movie worth seeing .",3
4457,Almost .,2
4458,... a pretentious and ultimately empty examination of a sick and evil woman .,1
4459,The Country Bears has no scenes that will upset or frighten young viewers .,2
4460,"Unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",1
4461,The cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge .,0
4462,"Before long , you're desperate for the evening to end .",0
4463,The characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .,0
4464,Mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from Stock Character camp -- a drowsy drama infatuated by its own pretentious self-examination .,1
4465,Only in its final surprising shots does Rabbit-Proof Fence find the authority it's looking for .,2
4466,"Isn't as sharp as the original ... Despite some visual virtues , ` Blade II ' just doesn't cut it .",1
4467,"In fact , it doesn't even seem like she tried .",0
4468,"Maybe LeBlanc thought , `` Hey , the movie about the baseball-playing monkey was worse . ''",1
4469,What you expect is just what you get ... assuming the bar of expectations hasn't been raised above sixth-grade height .,0
4470,Barry Sonnenfeld owes Frank the Pug big time,2
4471,"The biggest problem with Roger Avary's uproar against the MPAA is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything .",0
4472,So riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .,2
4473,"I approached the usher and said that if she had to sit through it again , she should ask for a raise .",0
4474,If Sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .,2
4475,"Too slow for a younger crowd , too shallow for an older one .",1
4476,There's a reason the studio didn't offer an advance screening .,1
4477,`` The Adventures of Pluto Nash '' is a big time stinker .,0
4478,"A punch line without a premise , a joke built entirely from musty memories of half-dimensional characters .",2
4479,"Takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny .",2
4480,The things this movie tries to get the audience to buy just won't fly with most intelligent viewers .,1
4481,"Even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by Avary's failure to construct a story with even a trace of dramatic interest .",0
4482,is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .,0
4483,"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",0
4484,"Deadly dull , pointless meditation on losers in a gone-to-seed hotel .",1
4485,"With this new Rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .",2
4486,One can only assume that the jury who bestowed star Hoffman's brother Gordy with the Waldo Salt Screenwriting award at 2002's Sundance Festival were honoring an attempt to do something different over actually pulling it off,1
4487,"A movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing Muzak and a cushion of predictable narrative rhythms .",0
4488,"Sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler .",1
4489,But never mind all that ; the boobs are fantasti,3
4490,"The script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people .",1
4491,"A portrait of alienation so perfect , it will certainly succeed in alienating most viewers .",1
4492,The code talkers deserved better than a hollow tribute .,1
4493,Skip the film and buy the Philip Glass soundtrack CD .,0
4494,Feels like a cold old man going through the motions .,1
4495,Dignified CEO's meet at a rustic retreat and pee against a tree .,1
4496,Can you bear the laughter ?,3
4497,"Dull and mechanical , kinda like a very goofy museum exhibit",2
4498,"There's no point of view , no contemporary interpretation of Joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",1
4499,Beware the quirky Brit-com .,1
4500,They can and will turn on a dime from oddly humorous to tediously sentimental .,3
4501,Has its moments -- and almost as many subplots .,3
4502,"The gags , and the script , are a mixed bag .",1
4503,Completely awful Iranian drama ... as much fun as a grouchy ayatollah in a cold mosque .,0
4504,"Narratively , Trouble Every Day is a plodding mess .",1
4505,There's no point in extracting the bare bones of Byatt's plot for purposes of bland Hollywood romance .,1
4506,"Directors John Musker and Ron Clements , the team behind The Little Mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space .",2
4507,"Adam Sandler's heart may be in the right place , but he needs to pull his head out of his butt",1
4508,"There's no doubting that this is a highly ambitious and personal project for Egoyan , but it's also one that , next to his best work , feels clumsy and convoluted .",2
4509,"Despite engaging offbeat touches , Knockaround Guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast .",1
4510,It's all pretty tame .,2
4511,The most offensive thing about the movie is that Hollywood expects people to pay to see it .,0
4512,The movie is a mess from start to finish .,1
4513,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",1
4514,"I'm not saying that Ice Age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life .",2
4515,"In the telling of a story largely untold , Bui chooses to produce something that is ultimately suspiciously familiar .",2
4516,Terminally brain dead production .,0
4517,"Some episodes work , some don't .",1
4518,Beautifully filmed and well acted ... but admittedly problematic in its narrative specifics .,3
4519,"J. Lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : She's a pretty woman , but she's no working girl .",3
4520,"Rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects .",1
4521,"Not only are the film's Sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we're - doing-it-for - the-cash ' sequel were .",0
4522,Wow .,3
4523,I have not been this disappointed by a movie in a long time .,0
4524,"Off the Hook is overlong and not well-acted , but credit writer-producer-director Adam Watstein with finishing it at all .",1
4525,It's a drag how Nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0
4526,"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd's film offers little else of consequence .",2
4527,"It's also curious to note that this film , like the similarly ill-timed Antitrust , is easily as bad at a fraction the budget .",0
4528,Will probably be one of those movies barely registering a blip on the radar screen of 2002 .,0
4529,"The problem is not that it's all derivative , because plenty of funny movies recycle old tropes .",2
4530,The problem is that Van Wilder does little that is actually funny with the material .,1
4531,There's nothing interesting in Unfaithful whatsoever .,0
4532,None of this is half as moving as the filmmakers seem to think .,1
4533,A processed comedy chop suey .,1
4534,"As spent screen series go , Star Trek : Nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink .",2
4535,"Fails as a dystopian movie , as a retooling of Fahrenheit 451 , and even as a rip-off of The Matrix .",0
4536,Full of the kind of obnoxious chitchat that only self-aware neurotics engage in .,1
4537,"An erotic thriller that's neither too erotic nor very thrilling , either .",0
4538,"The movie , like Bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",1
4539,With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .,1
4540,"If you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash .",0
4541,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing .",2
4542,Everything is pegged into the groove of a New York dating comedy with ` issues ' to simplify .,2
4543,A dramatic comedy as pleasantly dishonest and pat as any Hollywood fluff .,1
4544,"The cameo-packed , M : I-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ... Then Mike Myers shows up and ruins everything .",2
4545,"It comes off as so silly that you wouldn't be surprised if BA , Murdock and rest of the A-Team were seen giving chase in a black and red van .",2
4546,The 50-something lovebirds are too immature and unappealing to care about .,0
4547,"So genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen .",3
4548,"It never is , not fully .",2
4549,"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",1
4550,"What with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time .",1
4551,"Plodding , peevish and gimmicky .",1
4552,"The Four Feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",3
4553,Oozes condescension from every pore .,2
4554,`` Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,0
4555,"The direction , by George Hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism .",1
4556,"Though this saga would be terrific to read about , it is dicey screen material that only a genius should touch .",3
4557,It has plenty of laughs .,3
4558,It just doesn't have much else ... especially in a moral sense .,2
4559,"Confusion is one of my least favourite emotions , especially when I have to put up with 146 minutes of it .",0
4560,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",1
4561,it may play well as a double feature with mainstream foreign mush like My Big Fat Greek Wedding,2
4562,"By the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing .",0
4563,"Journalistically dubious , inept and often lethally dull .",0
4564,Putting the primitive murderer inside a high-tech space station unleashes a Pandora's Box of special effects that run the gamut from cheesy to cheesier to cheesiest .,1
4565,"At its best , it's Black Hawk Down with more heart .",3
4566,"At its worst , it's Rambo - meets-John Ford .",2
4567,Exactly what you'd expect from a guy named Kaos .,2
4568,This movie ... doesn't deserve the energy it takes to describe how bad it is .,1
4569,"With or without ballast tanks , K-19 sinks to a Harrison Ford low .",1
4570,Director Oliver Parker labors so hard to whip life into The Importance of Being Earnest that he probably pulled a muscle or two .,2
4571,You might be shocked to discover that Seinfeld's real life is boring .,2
4572,"It's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time .",3
4573,Walsh can't quite negotiate the many inconsistencies in Janice's behavior or compensate for them by sheer force of charm .,2
4574,This 10th film in the series looks and feels tired .,1
4575,"It leers , offering next to little insight into its intriguing subject .",1
4576,I found myself growing more and more frustrated and detached as Vincent became more and more abhorrent .,1
4577,One of the oddest and most inexplicable sequels in movie history .,2
4578,There's nothing to gain from watching They .,0
4579,It isn't scary .,1
4580,It hates its characters .,1
4581,It finds no way to entertain or inspire its viewers .,1
4582,"Fear permeates the whole of Stortelling , Todd Solondz ' oftentimes funny , yet ultimately cowardly autocritique .",3
4583,The skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense .,1
4584,"... Ice Age treads predictably along familiar territory , making it a passable family film that won't win many fans over the age of 12 .",2
4585,"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",3
4586,Just too silly and sophomoric to ensnare its target audience .,1
4587,"The video work is so grainy and rough , so dependent on being ` naturalistic ' rather than carefully lit and set up , that it's exhausting to watch .",2
4588,A cleverly crafted but ultimately hollow mockumentary .,1
4589,It gets bogged down by hit-and-miss topical humour before getting to the truly good stuff .,2
4590,"An achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses .",1
4591,"It's Tommy's job to clean the peep booths surrounding her , and after viewing this one , you'll feel like mopping up , too .",1
4592,"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there isn't an ounce of honest poetry in his entire script ; it's simply crude and unrelentingly exploitative .",0
4593,Such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .,0
4594,"If you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign .",1
4595,"An EXIT sign , that is .",1
4596,"Holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp .",2
4597,The dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .,1
4598,"A feature-length , R-rated , road-trip version of Mama's Family .",2
4599,What you end up getting is the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between .,2
4600,"Stealing Harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",0
4601,"Bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",1
4602,"There's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",3
4603,"Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor .",0
4604,The result might look like Vulgar .,2
4605,Suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as Dahmer demands .,0
4606,"What soured me on The Santa Clause 2 was that Santa bumps up against 21st century reality so hard , it's icky .",0
4607,It's an 88-minute highlight reel that's 86 minutes too long .,0
4608,Such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema .,0
4609,"With the exception of McCoist , the players don't have a clue on the park .",1
4610,The acting isn't much better .,0
4611,The whole affair is as predictable as can be .,2
4612,A not-so-Divine Secrets of the Ya-Ya Sisterhood with a hefty helping of Re-Fried Green Tomatoes .,1
4613,"This cloying , voices-from-the-other-side story is hell .",1
4614,A suffocating rape-payback horror show that hinges on the subgenre's most enabling victim ... and an ebullient affection for industrial-model meat freezers .,3
4615,"Star Trek was kind of terrific once , but now it is a copy of a copy of a copy .",1
4616,"Every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of Rohypnol .",2
4617,Puts on airs of a Hal Hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .,1
4618,"Ver Wiel's desperate attempt at wit is lost , leaving the character of Critical Jim two-dimensional and pointless .",1
4619,"Despite a performance of sustained intelligence from Stanford and another of subtle humour from Bebe Neuwirth , as an older woman who seduces Oscar , the film founders on its lack of empathy for the social milieu - rich New York intelligentsia - and its off",2
4620,"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual .",1
4621,"A sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",1
4622,The catch is that they're stuck with a script that prevents them from firing on all cylinders .,0
4623,"` You'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied .",2
4624,You'll feel like you ate a Reeses without the peanut butter ... ',1
4625,Gooding offers a desperately ingratiating performance .,1
4626,"Parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone ... that ultimately dulls the human tragedy at the story's core .",2
4627,The director has injected self-consciousness into the proceedings at every turn .,2
4628,The results are far more alienating than involving .,1
4629,Bogdanich is unashamedly pro-Serbian and makes little attempt to give voice to the other side .,1
4630,"A lack of thesis makes Maryam , in the end , play out with the intellectual and emotional impact of an after-school special .",2
4631,"Without Shakespeare's eloquent language , the update is dreary and sluggish .",0
4632,"If H.G. Wells had a time machine and could take a look at his kin's reworked version , what would he say ?",2
4633,"` It looks good , Sonny , but you missed the point . '",1
4634,"During The Tuxedo's 90 minutes of screen time , there isn't one true ` Chan moment ' .",1
4635,"Bisset delivers a game performance , but she is unable to save the movie .",2
4636,Watching Austin Powers in Goldmember is like binging on cotton candy .,3
4637,"It's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied .",1
4638,The most anti-human big studio picture since 3000 Miles to Graceland .,2
4639,The film can depress you about life itself .,1
4640,The acting is fine but the script is about as interesting as a recording of conversations at the Wal-Mart checkout line .,1
4641,"Its weighty themes are too grave for youngsters , but the story is too steeped in fairy tales and other childish things to appeal much to teenagers .",1
4642,The plot plummets into a comedy graveyard before Janice comes racing to the rescue in the final reel .,2
4643,"Sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .",1
4644,"At 90 minutes this movie is short , but it feels much longer .",1
4645,"Here's my advice , Kev .",2
4646,Start reading your scripts before signing that dotted line .,1
4647,An alternately raucous and sappy ethnic sitcom ... you'd be wise to send your regrets .,1
4648,An ugly-duckling tale so hideously and clumsily told it feels accidental .,0
4649,"Unfortunately , it's also not very good .",0
4650,Especially compared with the television series that inspired the movie .,2
4651,"It wraps up a classic mother\/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty .",2
4652,Glazed with a tawdry B-movie scum .,0
4653,"This is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness .",0
4654,"All in all , Road to Perdition is more in love with strangeness than excellence .",3
4655,A big fat pain .,1
4656,"Unintelligible , poorly acted , brain-slappingly bad , Harvard Man is ludicrous enough that it could become a cult classic .",2
4657,"Watching The Powerpuff Girls Movie , my mind kept returning to one anecdote for comparison : the cartoon in Japan that gave people seizures .",3
4658,An inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,1
4659,"To build a feel-good fantasy around a vain dictator-madman is off-putting , to say the least , not to mention inappropriate and wildly undeserved .",0
4660,"With the cheesiest monsters this side of a horror spoof , which They isn't , it is more likely to induce sleep than fright .",0
4661,"Mild , meandering teen flick .",2
4662,Though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .,2
4663,"Though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we've seen before .",1
4664,"Although it tries to be much more , it's really just another Major League .",1
4665,"Astonishing isn't the word -- neither is incompetent , incoherent or just plain crap .",0
4666,"Indeed , none of these words really gets at the very special type of badness that is Deuces Wild .",2
4667,One thing is for sure : This movie does not tell you a whole lot about Lily Chou-Chou .,2
4668,"With a tone as variable as the cinematography , Schaeffer's film never settles into the light-footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .",1
4669,"To better understand why this didn't connect with me would require another viewing , and I won't be sitting through this one again ... that in itself is commentary enough .",0
4670,"Cuba Gooding Jr. valiantly mugs his way through Snow Dogs , but even his boisterous energy fails to spark this leaden comedy .",1
4671,Diane Lane's sophisticated performance can't rescue Adrian Lyne's Unfaithful from its sleazy moralizing .,1
4672,Not at all clear what it's trying to say and even if it were -- I doubt it would be all that interesting .,0
4673,This remake of Lina Wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since John and Bo Derek made the ridiculous Bolero .,1
4674,"Silly , loud and goofy .",2
4675,Why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?,0
4676,"The French director has turned out nearly 21\/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing .",0
4677,The basic premise is intriguing but quickly becomes distasteful and downright creepy .,1
4678,The Pool drowned me in boredom .,1
4679,It's like an all-star salute to Disney's cheesy commercialism .,1
4680,"It's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",0
4681,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",1
4682,"There's an excellent 90-minute film here ; unfortunately , it runs for 170 .",1
4683,"As saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses .",1
4684,"Die Another Day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with .",2
4685,"As is often the case with ambitious , eager first-time filmmakers , Mr. Murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",1
4686,"The mystery of Enigma is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture .",1
4687,"It throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` Look at this !",3
4688,This is an interesting movie ! '',4
4689,But the film itself is ultimately quite unengaging .,0
4690,The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid .,1
4691,Avary's film never quite emerges from the shadow of Ellis ' book .,2
4692,"A poorly scripted , preachy fable that forgets about unfolding a coherent , believable story in its zeal to spread propaganda .",2
4693,"While it is interesting to witness the conflict from the Palestinian side , Longley's film lacks balance ... and fails to put the struggle into meaningful historical context .",1
4694,"Woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` Saving Private Ryan '' battle scenes before realizing Steven Spielberg got it right the first time ?",1
4695,"It's sincere to a fault , but , unfortunately , not very compelling or much fun .",2
4696,"... Jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts .",2
4697,This follow-up seems so similar to the 1953 Disney classic that it makes one long for a geriatric Peter .,2
4698,"Why , you may ask , why should you buy the movie milk when the TV cow is free ?",1
4699,There's no good answer to that one .,1
4700,"This slow-moving Swedish film offers not even a hint of joy , preferring to focus on the humiliation of Martin as he defecates in bed and urinates on the plants at his own birthday party .",2
4701,"A muddled limp biscuit of a movie , a vampire soap opera that doesn't make much sense even on its own terms .",0
4702,"There's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .",1
4703,This is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .,1
4704,This is amusing for about three minutes .,2
4705,"Klein , charming in comedies like American Pie and dead-on in Election , delivers one of the saddest action hero performances ever witnessed .",1
4706,It's rare to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' .,1
4707,"This is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes .",0
4708,"The direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",1
4709,There are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending .,1
4710,"It won't harm anyone , but neither can I think of a very good reason to rush right out and see it .",2
4711,"After all , it'll probably be in video stores by Christmas , and it might just be better suited to a night in the living room than a night at the movies .",1
4712,Looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .,0
4713,"Given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is .",0
4714,They kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book .,1
4715,Just because A Walk to Remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls .,1
4716,"It's mildly interesting to ponder the peculiar American style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through .",1
4717,This dreadfully earnest inversion of the Concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,1
4718,"Brown's saga , like many before his , makes for snappy prose but a stumblebum of a movie .",2
4719,"The boys ' sparring , like the succession of blows dumped on Guei , wears down the story's more cerebral , and likable , plot elements .",2
4720,The script by Vincent R. Nebrida ... tries to cram too many ingredients into one small pot .,1
4721,"The story is so light and sugary that were it a Macy's Thanksgiving Day Parade balloon , extra heavy-duty ropes would be needed to keep it from floating away .",2
4722,"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",0
4723,"Since Dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche .",1
4724,Only those most addicted to film violence in all its forms will find anything here to appreciate .,2
4725,"Cold and scattered , Minority Report commands interest almost solely as an exercise in gorgeous visuals .",2
4726,"That's not vintage Spielberg and that , finally , is minimally satisfying .",2
4727,"Every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .",0
4728,Frank McKlusky C.I. is that movie !,2
4729,It's not difficult to spot the culprit early-on in this predictable thriller .,2
4730,... a mostly boring affair with a confusing sudden finale that's likely to irk viewers .,2
4731,The trappings of I Spy are so familiar you might as well be watching a rerun .,1
4732,What starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .,1
4733,"In the wake of Saving Private Ryan , Black Hawk Down and We Were Soldiers , you are likely to be as heartily sick of mayhem as Cage's war-weary marine .",1
4734,"It is messy , uncouth , incomprehensible , vicious and absurd .",0
4735,Really does feel like a short stretched out to feature length .,1
4736,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",0
4737,"Cheap , vulgar dialogue and a plot that crawls along at a snail's pace .",1
4738,"And if you appreciate the one-sided theme to Lawrence's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",1
4739,"If you are willing to do this , then you so crazy !",1
4740,"Directed without the expected flair or imagination by Hong Kong master John Woo , Windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length .",1
4741,It's a very tasteful rock and roll movie .,3
4742,You could put it on a coffee table anywhere .,2
4743,"The movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story , Minac drains his movie of all individuality .",1
4744,An infuriating film .,0
4745,"Just when you think you are making sense of it , something happens that tells you there is no sense .",1
4746,The entire movie is so formulaic and forgettable that it's hardly over before it begins to fade from memory .,0
4747,"The setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .",1
4748,"As an entertainment destination for the general public , Kung Pow sets a new benchmark for lameness .",1
4749,"This misty-eyed Southern nostalgia piece , in treading the line between sappy and sanguine , winds up mired in tear-drenched quicksand .",1
4750,"As pure over-the-top trash , any John Waters movie has it beat by a country mile .",0
4751,"Wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time .",0
4752,Bigelow offers some flashy twists and turns that occasionally fortify this turgid fable .,3
4753,"But for the most part , The Weight of Water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",1
4754,This film biggest problem ?,1
4755,No laughs .,1
4756,Less-than-compelling documentary of a Yiddish theater clan .,2
4757,That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,2
4758,"Viewers are asked so often to suspend belief that were it not for Holm's performance , the film would be a total washout .",1
4759,"It's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it's well worth a rental .",2
4760,"I can't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ...",0
4761,"Everybody loves a David and Goliath story , and this one is told almost entirely from David's point of view .",3
4762,Throw Smoochy from the train !,1
4763,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you don't care who fires the winning shot .",0
4764,Irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .,0
4765,"A light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation .",1
4766,Cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .,3
4767,"To paraphrase a line from another Dickens ' novel , Nicholas Nickleby is too much like a fragment of an underdone potato .",0
